[2021/12/28 14:57:42] - Namespace(arch='ResNet18', epochs=300, batch_size=128, scheduler='reduce', lr=0.1, momentum=0.9, weight_decay=0.0001, label_smooth=True, label_smooth_value=0.1, mixup=True, mixup_alpha=1.0, Ncrop=True, data_path='datasets/fer2013/fer2013.csv', results='./results', save_freq=10, resume=0, seed=0, name='official')
[2021/12/28 14:57:43] - cuda:0
[2021/12/28 14:57:43] - Load dataset ...
[2021/12/28 14:57:48] - Start load model ResNet18 ...
[2021/12/28 14:57:51] - Start traning.
[2021/12/28 14:57:51] - Epoch 	 Time 	 Train Loss 	 Train ACC 	 Val Loss 	 Val ACC
[2021/12/28 15:01:04] - 1	 193.4766 	 0.0022 	 0.2439 	 0.0287 	 0.2452
[2021/12/28 15:02:06] - 2	 61.3040 	 0.0021 	 0.2480 	 0.0286 	 0.2449
[2021/12/28 15:03:08] - 3	 62.2552 	 0.0021 	 0.2493 	 0.0288 	 0.2494
[2021/12/28 15:04:10] - 4	 61.0253 	 0.0021 	 0.2505 	 0.0285 	 0.2458
[2021/12/28 15:05:11] - 5	 61.0957 	 0.0021 	 0.2483 	 0.0284 	 0.2622
[2021/12/28 15:06:11] - 6	 60.5879 	 0.0021 	 0.2502 	 0.0281 	 0.2572
[2021/12/28 15:07:13] - 7	 61.1609 	 0.0021 	 0.2553 	 0.0277 	 0.2823
[2021/12/28 15:08:14] - 8	 60.7874 	 0.0020 	 0.2604 	 0.0272 	 0.3157
[2021/12/28 15:09:14] - 9	 60.5418 	 0.0020 	 0.2748 	 0.0253 	 0.4129
[2021/12/28 15:10:16] - 10	 60.8740 	 0.0020 	 0.2828 	 0.0280 	 0.2215
[2021/12/28 15:11:17] - 11	 60.8901 	 0.0019 	 0.3006 	 0.0227 	 0.4976
[2021/12/28 15:12:18] - 12	 61.3524 	 0.0019 	 0.3229 	 0.0233 	 0.4547
[2021/12/28 15:13:20] - 13	 61.4894 	 0.0018 	 0.3280 	 0.0215 	 0.5358
[2021/12/28 15:14:21] - 14	 61.2459 	 0.0018 	 0.3371 	 0.0204 	 0.5266
[2021/12/28 15:15:22] - 15	 61.2229 	 0.0018 	 0.3317 	 0.0215 	 0.5213
[2021/12/28 15:16:23] - 16	 61.0039 	 0.0017 	 0.3503 	 0.0204 	 0.5458
[2021/12/28 15:17:25] - 17	 61.0754 	 0.0017 	 0.3475 	 0.0189 	 0.5851
[2021/12/28 15:18:27] - 18	 61.5368 	 0.0017 	 0.3551 	 0.0190 	 0.5988
[2021/12/28 15:19:28] - 19	 61.0205 	 0.0017 	 0.3388 	 0.0189 	 0.5876
[2021/12/28 15:20:29] - 20	 61.2763 	 0.0017 	 0.3697 	 0.0184 	 0.6105
[2021/12/28 15:21:31] - 21	 61.2384 	 0.0017 	 0.3752 	 0.0185 	 0.6127
[2021/12/28 15:22:32] - 22	 61.1597 	 0.0016 	 0.3621 	 0.0186 	 0.6013
[2021/12/28 15:23:33] - 23	 61.0431 	 0.0016 	 0.3754 	 0.0180 	 0.6066
[2021/12/28 15:24:34] - 24	 61.2455 	 0.0016 	 0.3808 	 0.0186 	 0.5871
[2021/12/28 15:25:36] - 25	 61.0627 	 0.0017 	 0.3771 	 0.0176 	 0.6194
[2021/12/28 15:26:37] - 26	 61.1128 	 0.0016 	 0.3778 	 0.0187 	 0.5996
[2021/12/28 15:27:38] - 27	 61.1019 	 0.0016 	 0.4002 	 0.0175 	 0.6211
[2021/12/28 15:28:39] - 28	 60.8916 	 0.0016 	 0.3880 	 0.0175 	 0.6208
[2021/12/28 15:29:41] - 29	 61.5796 	 0.0016 	 0.3932 	 0.0172 	 0.6328
[2021/12/28 15:30:42] - 30	 61.2569 	 0.0016 	 0.3947 	 0.0187 	 0.6080
[2021/12/28 15:31:43] - 31	 60.9654 	 0.0016 	 0.3906 	 0.0176 	 0.6403
[2021/12/28 15:32:45] - 32	 61.3011 	 0.0016 	 0.3667 	 0.0166 	 0.6556
[2021/12/28 15:33:47] - 33	 61.3581 	 0.0016 	 0.3966 	 0.0168 	 0.6372
[2021/12/28 15:34:48] - 34	 61.2347 	 0.0016 	 0.3954 	 0.0165 	 0.6503
[2021/12/28 15:35:49] - 35	 61.1244 	 0.0016 	 0.3918 	 0.0168 	 0.6442
[2021/12/28 15:36:50] - 36	 61.0974 	 0.0016 	 0.4091 	 0.0185 	 0.6105
[2021/12/28 15:37:51] - 37	 61.1034 	 0.0016 	 0.4073 	 0.0169 	 0.6428
[2021/12/28 15:38:52] - 38	 61.1972 	 0.0016 	 0.4024 	 0.0164 	 0.6570
[2021/12/28 15:39:54] - 39	 61.0308 	 0.0016 	 0.3953 	 0.0167 	 0.6643
[2021/12/28 15:40:55] - 40	 61.2222 	 0.0016 	 0.3899 	 0.0165 	 0.6489
[2021/12/28 15:41:56] - 41	 61.1613 	 0.0016 	 0.3826 	 0.0163 	 0.6565
[2021/12/28 15:42:58] - 42	 61.4393 	 0.0015 	 0.4110 	 0.0167 	 0.6495
[2021/12/28 15:43:59] - 43	 60.9664 	 0.0016 	 0.3943 	 0.0163 	 0.6824
[2021/12/28 15:45:00] - 44	 61.0132 	 0.0016 	 0.3966 	 0.0159 	 0.6737
[2021/12/28 15:46:02] - 45	 61.9690 	 0.0015 	 0.4091 	 0.0163 	 0.6684
[2021/12/28 15:47:04] - 46	 61.6744 	 0.0015 	 0.4299 	 0.0166 	 0.6567
[2021/12/28 15:48:06] - 47	 62.0780 	 0.0016 	 0.4059 	 0.0162 	 0.6690
[2021/12/28 15:49:08] - 48	 61.7561 	 0.0015 	 0.3930 	 0.0159 	 0.6640
[2021/12/28 15:50:10] - 49	 62.2336 	 0.0015 	 0.3989 	 0.0167 	 0.6517
[2021/12/28 15:51:11] - 50	 61.6099 	 0.0015 	 0.4336 	 0.0156 	 0.6801
[2021/12/28 15:52:13] - 51	 61.1978 	 0.0015 	 0.4389 	 0.0153 	 0.6790
[2021/12/28 15:53:14] - 52	 60.9892 	 0.0015 	 0.4434 	 0.0160 	 0.6712
[2021/12/28 15:54:15] - 53	 60.9341 	 0.0015 	 0.4302 	 0.0154 	 0.6843
[2021/12/28 15:55:16] - 54	 60.9000 	 0.0015 	 0.4233 	 0.0159 	 0.6715
[2021/12/28 15:56:17] - 55	 60.7434 	 0.0015 	 0.3885 	 0.0157 	 0.6743
[2021/12/28 15:57:18] - 56	 60.9111 	 0.0015 	 0.4366 	 0.0164 	 0.6824
[2021/12/28 15:58:19] - 57	 61.0872 	 0.0015 	 0.4331 	 0.0158 	 0.6765
